gargouille,gargoyle,par ext Ces figures mêmes .
gargouille,gargoyle,Canal ou tuyau destiné à l ’ écoulement des eaux .
gargouille,gargoyle,Conduit qui amène les produits de la combustion dans la cheminée d ’ un haut fourneau .
garnison,garrison,"Corps de troupes qu ’ on met dans une place , dans une forteresse pour la défendre ."
garnison,garrison,Corps de troupes caserné dans une ville .
garnison,garrison,Corps de troupes chargé de la défense d ’ une place
kiosque,bandstand,"XVIII Dans l ’ aménagement des parcs et jardins , pavillon pour l ’ agrément ou la musique , d ’ inspiration orientale , de structure légère et ouverte et de plan circulaire ou polygonal ."
kiosque,bandstand,"XIX par ext Construction similaire située dans un espace public ou à usage collectif , principalement à usage festif , éventuellement tournante , fermée de nuit ou démontable ."
kiosque,bandstand,"Mobilier urbain <concept> à journaux ; édicule de rue , à l ’ origine en forme de petit kiosque , servant de présentoir pour le commerce de la presse , fermé la nuit par des volets en bois ou en métal ."
kiosque,bandstand,"Ameublement Présentoir en forme de petit <concept> , souvent circulaire , destiné à la vente d ’ objets multiples : restauration en , cartes postales …"
képi,cap,"Sorte de coiffure , à fond plat , en drap , munie d ’ une visière , en usage dans certaines armées , d ’ abord appelé bonnet de police à visière ."
képi,cap,Coiffure que portent les employés de certaines administrations .
limonade,lemonade,"Boisson à base de sucre , de jus de citron et d ’ eau ."
limonade,lemonade,Commerce des limonadiers .
limonade,lemonade,"Dans un , service des boissons , par opposition au service des repas ."
marsouin,porpoise,"Petit cétacé à dents , au rostre court et aux dents pointues et courbées , plutôt noirs sur la face dorsale , et blancs sur la face ventrale ."
marsouin,porpoise,"Soldat de l ’ infanterie coloniale , puis membre des troupes de marine ."
marsouin,porpoise,Personne qui mérite peu de considération .
marsouin,porpoise,"Terme d ’ affection , généralement utilisé pour désigner un enfant espiègle ."
merlan,whiting,"Espèce de poisson argenté de 30 à 50 cm vivant dans l ’ Atlantique nord à proximité des côtes d ’ Europe occidentale , de nom scientifique ."
merlan,whiting,"Coiffeur , perruquier ."
merlan,whiting,"Pièce de viande de bœuf , très tendre ."
nénette,chick,"Jeune fille , jeune femme ."
nénette,chick,"Méninge , tête . N ’ est plus utilisé dans ce sens que dans l ’ expression « se casser la nénette » ."
nénette,chick,Nom de marque Brosse souple et douce utilisée pour la carrosserie des autos .
nénette,chick,Au jeu de 421 ; plus petit score : 122 ou 221
prunelle,sloe,"Sorte de petite prune sauvage et âpre , fruit du prunellier ."
prunelle,sloe,Liqueur faite avec ce fruit .
prunelle,sloe,Sorte d ’ étoffe .
prunelle,sloe,Petite prune sauvage
radis,radish,"Légume potager du genre Raphanus , dont la racine est comestible ."
radis,radish,"dans des tournures négatives Sou , rond"
rédemption,redemption,"Action de ramener ’ un au bien , de le racheter , ou de se racheter , rachat du genre humain par ."
rédemption,redemption,"Action de , de racheter , résultat de cette action ."
rédemption,redemption,"Rachat de part , sortie totale ou partielle d ’ un fonds de la part d ’ un investisseur ."
rédemption,redemption,sens religieux
sauterelle,grasshopper,Insecte orthoptère commun presque partout dans le monde et qui se déplace en sautant à l ’ aide de leurs longues pattes postérieures .
sauterelle,grasshopper,nord Nom donné aux crevettes sur les côtes du nord de la France .
sauterelle,grasshopper,"Fausse équerre mobile , instrument formé de deux règles assemblées à l ’ une de leurs extrémités par une charnière , et qui sert à prendre , à reporter , et à tracer toutes sortes d ’ angles ."
sauterelle,grasshopper,"Appareil servant à élever des produits pondéreux en vrac dans diverses industries , et composé d un tapis entraîné en rotation par un moteur , sur un bâti métallique ."
schisme,schism,Division au sein d ’ une Église donnant naissance à une nouvelle Église .
schisme,schism,"Division analogue dans le domaine de la politique , de la morale , de la littérature ,"
trilingue,trilingual,Qui sait parler trois langues .
trilingue,trilingual,Qui est écrit en trois langues .
vagin,vagina,Passage menant de l ’ ouverture de la vulve au de l ’ utérus chez les mammifères femelles .
vaudou,voodoo,"Religion animiste originaire de l ’ ancien royaume du Dahomey , répandue au Bénin et au Togo , aux Antilles et en Amérique latine , principalement ."
vaudou,voodoo,Dieu de cette religion .
vaudou,voodoo,Adepte de ce culte .
zōri,zori,Type de sandale traditionnelle japonaise .
authentique,authentic,Qui est certifié par des officiers publics et dans les formes requises .
authentique,authentic,Dont la vérité ou l ’ autorité ne peut être contestée .
authentique,authentic,Dont la réalité ne peut être niée .
clavette,wedge,"Sorte de clou plat , qu ’ on passe dans l ’ ouverture faite au bout d ’ une cheville , d ’ un boulon , , pour les arrêter ."
clavette,wedge,"particulier Sur d anciennes bicyclettes , pièce métallique passée dans l ouverture inférieure des manivelles de pédales , à laquelle correspond un méplat sur l axe du pédalier , de façon à solidariser ces deux pièces . Sur les bicyclettes récentes , ce système de fixation a été remplacé par un emboîtement à crans maintenu par un écrou spécifique ."
clavette,wedge,"Pièce métallique placée entre une rainure faite le long d ’ un axe et une rainure faite dans le trou d une roue montée sur cet axe , pour assujettir la roue à l axe ."
clavette,wedge,Pièce en acier servant à bloquer un fil ou un câble de précontrainte après sa mise en tension .
consistoire,consistory,Assemblée de cardinaux convoquée par le pape pour les consulter et leur demander leur avis sur quelques affaires importantes .
consistoire,consistory,par ext Assemblée de pasteurs ou de rabbins et de laïques réunis pour délibérer des affaires de leurs religions .
documenter,document,Appuyer de documents .
estrapade,strappado,"Supplice qu ’ on faisait subir à un condamné , en l ’ élevant en haut d ’ une longue pièce de bois , les mains liées derrière le dos avec une corde qui soutenait tout le poids du corps , puis en le faisant tomber avec force jusqu ’ à quelques décimètres du sol , dans l ’ eau , parfois dans un bucher . Cela lui les bras ."
estrapade,strappado,Action de se suspendre par les mains à une corde et de faire passer le corps entre les deux bras écartés .
estrapade,strappado,Outil utilisé par les horlogers pour monter les ressorts dans les pendules .
estrapade,strappado,Saut fait par un cheval pour désarçonner son cavalier .
fanart,fanart,"Toute œuvre d ’ art réalisée par un artiste et qui met en scène un personnage , un lieu ou une scène de l ’ univers qu ’ un autre artiste a créé ."
forcer,force,"Briser , rompre , ouvrir quelque chose avec violence ."
forcer,force,"Fausser , tordre , détériorer par une manœuvre violente ."
forcer,force,"Prendre par force , enfoncer ."
forcer,force,"Contraindre , obliger à quelque note Se dit tant au propre qu ’ au figuré ."
garce,slut,Anciennement Fille ou femme .
garce,slut,Fille ou femme débauchée .
garce,slut,Fille ou femme méchante ou désagréable .
garce,slut,"En apposition suivi de de , donne une forte charge négative au substantif auquel il s ’ appose ."
gerboise,jerboa,"Genre de mammifères rongeurs qui ont les pattes de devant fort courtes , les pattes postérieures fort longues , la queue garnie de poils longs à son extrémité et qui marchent et sautent facilement à l ’ aide de leurs pattes de derrière en s ’ équilibrant avec leur queue ."
gerboise,jerboa,Homme homosexuel .
glacière,icemaker,"Grand creux fait en terre , ordinairement maçonné , voûté et recouvert de terre et de paille , dans lequel on conserve de la glace ou de la neige , pour rafraîchir les boissons , pour faire des glaces ,"
glacière,icemaker,Appareil où l ’ on fabrique de la glace artificielle en utilisant le refroidissement produit par certaines réactions chimiques .
glacière,icemaker,"Meuble ou sac isolé où l ’ on conserve des aliments , des boissons ."
glacière,icemaker,Lieu extrêmement froid .
impie,impious,"par ext Qui offense la patrie , l ’ autorité paternelle et , en général , les choses considérées comme sacrées ."
intimité,intimacy,Qualité de ce qui est intime .
intimité,intimacy,par ext Caractère de confiance réciproque des relations sociales .
intimité,intimacy,"Partie généralement cachée de l anatomie d un individu , notamment les parties génitales ."
intimité,intimacy,Qualité de ce qui est intime
mandragore,mandrake,"Plante de la famille des solanées , dont la racine s ’ apparente à la forme du corps humain , douée de propriétés narcotiques , sédatives , stupéfiantes et aphrodisiaques ."
mandragore,mandrake,Plante de la famille des solanées dite porteuse de vertus magiques .
manières,manners,"Traits distinctifs , singularités que l ’ on remarque dans les actions extérieures des particuliers ."
manières,manners,Singularités dans les actions de ’ un
pantoufle,slipper,"Chaussure d ’ intérieur , que l ’ on met chez soi pour être plus à l ’ aise ."
pantoufle,slipper,"Montant à rembourser en cas de de l engagement décennal , dans l argot de l École polytechnique ."
plier,fold,"Mettre en double une ou plusieurs fois , en parlant du linge , des étoffes , du papier ,"
plier,fold,Rabattre l ’ une sur l ’ autre les parties d ’ un objet .
plier,fold,"Courber , fléchir ."
plier,fold,"Assujettir , soumettre , faire céder , accoutumer ."
prisme,prism,"Polyèdre ayant pour bases deux polygones égaux et parallèles , dont les côtés homologues sont unis par des parallélogrammes ."
prisme,prism,particulier Instrument d ’ optique qui sert à réfracter et à décomposer la lumière et qui est un prisme triangulaire de verre blanc ou de cristal .
prisme,prism,Ensemble de préjugés et de passions .
prisme,prism,figure géométrique
réaction,reaction,Action d ’ un corps sur un autre qui agit ou vient d ’ agir sur lui .
réaction,reaction,Modifications d ’ ordre chimique résultant de l ’ action d ’ un corps sur un autre .
réaction,reaction,Action de l ’ organisme en réponse à une excitation quelconque .
réaction,reaction,"Émotion que provoque un reproche , une menace , une nouvelle heureuse ou fâcheuse ,"
récréation,recreation,"Occupation , exercice qui fait diversion au travail et qui sert de délassement ."
récréation,recreation,"par ext Dans les maisons d ’ éducation et dans les communautés religieuses , temps accordé aux élèves , aux religieux pour se délasser , pour se divertir ."
récréation,recreation,Au pluriel Divers ouvrages où l ’ on tire de la science des sujets de récréation .
récréation,recreation,Divers ouvrages où l ’ on tire de la science des sujets de récréation .
sunnite,sunni,"Orthodoxe , traditionnel , en se référant à l ’ islam ."
tourner,turn,"Mouvoir en rond , par un mouvement circulaire ou en ligne courbe , autour d ’ un axe de rotation ."
tourner,turn,Décrire un mouvement circulaire autour de quelque chose ; contourner .
tourner,turn,par ext Bouger ; diriger .
tourner,turn,"Inverser , mouvoir en sens contraire retourner ."
treizième,thirteenth,"Élément ordinal , correspondant au cardinal treize ."
treizième,thirteenth,Fraction obtenue en divisant treize fois .
treizième,thirteenth,Qui concerne l ’ ordinal ou la fraction treizième .
troupeau,herd,Troupe d ’ animaux sauvages
