la,la,syllable used in solfège to represent the sixth note of a major scale
rooster,coq,A violent or disorderly person .
rooster,coq,"A powerful , prideful , or pompous person ."
thaumaturge,thaumaturge,performer of thaumaturgy
woodcock,bécasse,wading bird in the genus Scolopax
constructible,constructible,"Of a land , suitable for constructing a building ."
constructible,constructible,"Of a building or other thing , capable of being constructed ."
constructible,constructible,Allowed to construct .
constructible,constructible,That can be constructed in a plane using only a pair of compasses and a straightedge .
diplomacy,diplomatie,"The art and practice of conducting international relations by negotiating alliances , treaties , agreements etc . , bilaterally or multilaterally , between states and sometimes international organisms , or even between polities with varying status , such as those of monarchs and their princely vassals"
diplomacy,diplomatie,Tact and subtle skill in dealing with people so as to avoid or settle hostility .
diplomacy,diplomatie,art of conducting international relations
freeware,graticiel,Complete and functional software that does not require payment or other compensation for its use . Freeware may be a proprietary license with no access to the source code .
freeware,graticiel,free of charge software
goofy,dingue,riding with right foot forward .
pottery,poterie,Fired ceramic wares that contain clay when formed
pottery,poterie,"A potter s shop or workshop , where pottery is made"
pottery,poterie,The potter s craft or art : making vessels from clay
pottery,poterie,fired ceramic wares that contain clay when formed
cowl,froc,monk s hood or robe
dish,assiette,"A vessel such as a plate for holding or serving food , often flat with a depressed region in the middle ."
dish,assiette,The contents of such a vessel .
dish,assiette,A specific type of prepared food .
dish,assiette,"Tableware that is to be or is being washed after being used to prepare , serve and eat a meal ."
laughter,rire,"The sound of laughing , produced by air so expelled ; any similar sound ."
laughter,rire,"A movement of the muscles of the laughing face , particularly of the lips , and of the whole body , with a peculiar expression of the eyes , indicating merriment , satisfaction or derision , and usually attended by a sonorous and interrupted expulsion of air from the lungs ."
laughter,rire,A reason for merriment .
laughter,rire,sound ( as ) of laughing
pore,pore,A tiny opening in the skin .
pore,pore,"By extension any small opening or interstice , especially one of many , or one allowing the passage of a fluid ."
pore,pore,to study meticulously ; to go over again and again .
pore,pore,to meditate or reflect in a steady way .
prehistoric,préhistorique,of relating to the epoch before written record
rorqual,rorqual,whale with long skin folds below mouth
sesame,sésame,A tropical Asian plant bearing small flat seeds used as food and as a source of oil .
sesame,sésame,The seed of this plant .
treasury,trésorerie,A place where treasure is stored safely .
treasury,trésorerie,A place where state or royal money and valuables are stored .
treasury,trésorerie,A collection of artistic or literary works .
treasury,trésorerie,place where treasure is stored safely
whirlwind,cyclone,"A violent windstorm of limited extent , as the tornado , characterized by an inward spiral motion of the air with an upward current in the center ; a vortex of air . It usually has a rapid progressive motion ."
whirlwind,cyclone,A person or body of objects or events sweeping violently onward .
whirlwind,cyclone,a violent windstorm of limited extent characterised by an inward spiral motion of the air
bossy,autoritaire,"Tending to give orders to others , especially when unwarranted ; domineering ."
bossy,autoritaire,A cow or calf .
bossy,autoritaire,Ornamented with bosses ; studded .
bossy,autoritaire,tending to give orders to others
caldera,caldera,A large crater formed by a volcanic explosion or by collapse of the cone of a volcano .
caldera,caldera,geology : a large crater formed by a volcanic explosion
ergot,ergot,Any fungus in the genus Claviceps which are parasitic on grasses .
ergot,ergot,"The sclerotium of certain fungi in the genus Claviceps , appearing as a deformed grain in certain cereals and grasses infected by the fungi ."
ergot,ergot,spur of a male member of Galliformes
ergot,ergot,deformed grain
immolation,immolation,act of immolating
intruder,intrus,Someone who intrudes .
intruder,intrus,someone who intrudes
osmium,osmium,A heavy metallic chemical element with an atomic number of 76 .
eleventh,onzième,one of eleven equal parts of a whole
imaginary,imaginaire,Existing only in the imagination .
imaginary,imaginaire,Having no real part ; that part of a complex number which is a multiple of the square root of -1 .
imaginary,imaginaire,existing in imagination
barse,loup,The perch ; any of various marine and freshwater fish resembling the perch .
barse,loup,The perineum of a man .
corpulence,corpulence,The state or characteristic of being corpulent .
corpulence,corpulence,state or characteristic of being corpulent
lollipop,sucette,confectionery on a stick
opt,opter,To choose ; select .
strain,tension,"act of straining , or the state of being strained"
strain,tension,injury resulting from violent effort
suck,sucer,An instance of drawing something into one s mouth by inhaling .
suck,sucer,Fellatio of a penis .
suck,sucer,"A weak , self-pitying person ; a person who won t go along , especially out of spite ; a crybaby or sore loser ."
suck,sucer,"A sycophant , especially a child ."
closet,placard,"Any private area , particularly bowers in the open air ."
closet,placard,"Any private or inner room , particularly :"
closet,placard,A private room used by women to groom and dress themselves .
closet,placard,A private room used for prayer or other devotions .
pasteurisation,pasteurisation,treatment of perishable food
surgeon,chirurgien,One who performs surgery ; a doctor who performs operations on people or animals .
surgeon,chirurgien,doctor who performs surgery
bartender,barman,One who tends a bar or pub ; a person preparing and serving drinks at a bar .
bartender,barman,"a <concept> , barman , barmaid female"
bartender,barman,person who works in a bar
battleship,cuirassé,"Large capital warship displacing tens of thousands of tons , heavily armoured and armed with big guns . Battleships are now obsolescent , replaced by smaller vessels with guided missiles . Types : dreadnought , pre-dreadnought ."
battleship,cuirassé,"Non-functional rocket stage , used for configuration and integration tests ."
battleship,cuirassé,"A guessing game played on grid paper , see Battleship"
battleship,cuirassé,guessing game
gat,flingue,Any type of gun
interstellar,interstellaire,between the stars
interstellar,interstellaire,among the stars
interstellar,interstellaire,between stars
semen,semence,"A sticky , milky fluid produced in male reproductive organs that contains the reproductive cells ."
semen,semence,"The fluid , produced in male reproductive organs of an animal , that contains the reproductive cells ."
semen,semence,poetic seed )
